idDecouverte;syntheseDecouverte
834;Le diagnostic n'a livré que des remblais contemporains.
1243;"En 1980, des travaux d'aménagement effectués dans la salle attenante à la grande salle des thermes ont permis de procéder à deux sondages stratigraphiques menés jusqu'à une profondeur de 6,20 m. Les niveaux rencontrés s'étagent de la fin du XVIe siècle aux dernières années du Ier s. av. J.-C. Parmi le mobilier très abondant recueilli, on a noté un ensemble assez précoce de céramique d'importation (sigillée arétine, céramique campanienne, lampe delphinoïde), ainsi que, dans la partie supérieure du sondage 1, une petite fosse à détritus datable du VIe siècle et contenant des fragments d'une ampoule de saint Menas."
1503;"En 1884, au moins neuf sépultures furent découvertes (""Fouille Barbier Alinaud""). Associées à l'une d'entre elles, Th. Vacquer signale la présence d'une inhumation de cheval."
1691;"En 1906, lors de fouilles pour la construction de bâtiments à usage de commerce, les vestiges de l'ancienne enceinte et de l'entrée de l'enclos du Temple ainsi que de la geôle ont été découverts."
1277;"Le bâtiment de l'école Massillon situé quai des Célestins se trouve à l'emplacement du premier hôtel de Sens qui remonte à 1296. Cet hôtel est englobé dans l'hôtel de Saint-Paul rassemblé par Charles V. Aucun de ses successeurs, à l'exception de Charles VI, n'a fait agrandir cette propriété. En novembre 1516, François Ier l'aliéna au profit du grand-maître de l'artillerie, Jacques Gaillot de Genouillac, sénéchal d'Armagnac.
Ensuite, morcelé et vendu, ce terrain passe par diverses mains jusqu'à Raymond Phelypeaux, seigneur d'Herbault qui, vraisemblablement, était le commanditaire de l'hôtel d'Herbault érigé à cet endroit.
L'hôtel est vendu à Gaspard Fieubet et est connu sous le nom d'hôtel Fieubet. Vendu ou loué à diverses personnes jusqu'à son acquisition par deux entrepreneurs, en 1816, qui le louent aussitôt à un raffineur de sucre lequel fait installer des chaudières et une cheminée d'usine dans l'arrière-cour. L'hôtel est acheté par le comte de la Valette, en 1857. Les travaux sont exécutés par l'architecte Jules Gros pour le comte, qui, criblé de dettes, est obligé de vendre. L'hôtel est finalement acheté par l'école Massillon, actuel propriétaire. L'histoire de ces hôtels est donc complexe et il n'est pas certain qu'elle trouve une juste illustration au travers de sondages réalisés dans le cadre de l'évaluation. La tranchée d'évaluation a été entreprise dans l'arrière-cour de l'hôtel (l'actuelle cour de récréation de l'école) d'une superficie avoisinant 1000 m2.
À partir de la base de la première couche, la stratification archéologique se développe sur une hauteur totale d'environ 2,20 m. Les structures les plus anciennes (deux fosses, dont une contenait de la céramique datable du XIVe s.) peuvent être associées, sur les plans chronologique et topographique, à l'hôtel Saint-Paul et suggèrent que cette zone a servi au moins en partie de dépotoir. À cette époque, ce lieu n'aurait pas été un jardin d'agrément mais un terrain non bâti. Au-dessus de ces fosses se trouvaient des niveaux aménagés, en gravier ou en plâtre, datables de la fin du XVe ou du début du XVIe s., qui témoignent de l'abandon des bâtiments de l'hôtel Saint-Paul et de la mise en place des structures suivantes. Il est difficile de suivre l'organisation chronologique entre les fosses et la couche qui les scelle. Il semble que des couches appartenant au XIVe et XVe s. ont été arasées. Si c'est effectivement le cas, ceci renforcerait l'idée que l'ensemble formé par les couches de gravier et de plâtre représente un changement d'utilisation du terrain. Une couche de terre brune, qui peut indiquer la présence d'un jardin, scellait la couche de gravier. D'une épaisseur comprise entre 0,15 et 0,5 m, elle contenait des morceaux de plâtre et de tuile, un morceau de vitrail peint, du charbon, du bois et des ossements d'animaux. La céramique indique la fin du XVe siècle.
Un bâtiment datable stratigraphiquement du XVIe siècle est représenté, dans la tranchée, par un angle de fondation (long de 3,60 m et large de 3,03 m) construit principalement avec des éléments architecturaux récupérés (y compris un fût de colonne engagée posé sur le côté, et un chapiteau non décoré).
Cette évaluation a apporté la preuve que des niveaux médiévaux et modernes perdurent à cet emplacement. La présence des fosses indique que l'intérêt du site, en ce qui concerne le Moyen Âge, ne se résume pas uniquement à la présence ou l'absence de structures en dur. Les rejets domestiques d'un hôtel royal ont un intérêt en soi. De plus, s'il existe sur le site des fosses liées à l'hôtel de Sens, les comparaisons en ce qui concerne l'alimentation et la vie quotidienne seraient fort intéressantes. En outre, le réemploi d'éléments architecturaux dans l'angle du bâtiment, et la présence de vitraux peints laissent espérer que la fouille permettra de mieux comprendre le bâti des hôtels de Sens et de Saint-Paul."
1346;Cette évaluation a démontré l'absence de niveau archéologique. Aucun mobilier ancien même erratique n'a été découvert.
2176;"A une date indéterminée, probablement en parallèle de la mise en place d'un égout sur le boulevard Saint Michel (ancien boulevard Sébastopol), Théodore Vacquer relève des vestiges à la Maison Roulhac. Il dresse un plan de localisation et réalise une coupe stratigraphique des niveaux archéologiques rencontrés, soit une épaisse couche de terre argileuse, surmontée d'une séquence de remblais et dépotoirs antiques (céramiques, ossements débités, nombreux charbons, coquilles...). Enfin, des ossements humains sont signalés au sommet de cette succession de couches. Théodore Vacquer les suppose mérovingiens (fibule associée ?) et les rapproche des squelettes découvertes sur la fouille ""Harriot""."
8;"Quatre tronçons de l'aqueduc romain d'Arcueil ont été découverts sur une longueur totale de vingt mètres en 1901, lors de la construction d'un immeuble."
2036;"Lors des fouilles pour le métropolitain en 1904, au pont de Bir-Hakeim, un phallus gallo-romain fut découvert dans un terrain de sables et graviers, à environ 6 à 7 mètres en contrebas de la berge voisine."
2058;"En 2017 et 2018, une surveillance archéologique a accompagné la réalisation de quatre sondages techniques notamment dans la salle dite de Notre-Dame et dans le couloir situé au-dessus du Frigidarium. Ces sondages très restreints n'ont révélé que des remblais liés aux modifications récentes du musée."
1444;Lors du creusement d'une fosse d'aisance fut mis au jour un trésor de billons de Gordien le Pieux à Gallien.
1530;"Vers 1885-1886, E. Toulouze signale la présence de sépultures gallo-romaines. Une seule méritait de fixer l'attention. Il s'agit d'une inhumation en pleine terre, avec, pour mobilier funéraire, une « ampulla » en terre rouge. Elle contenait 307 monnaies : 12 à l'effigie de Valérien, 121 à celle de Gallien, 18 à celle de Salonina Cornelia, 89 à celle de Postume, 29 à celle de Victorin, 1 à celle d'Aurelius Marius, 25 à celle de Claude (Le gothique ?) ; 12 n'ont pas été identifiées."
2265;"En 1844, une partier de l'enceinte de Philippe Auguste fut découverte à l'angle de la rue Rambuteau et de l'ancienne rue du Chaume (actuellement rue des Archives)."
2200;"A une date indéterminée, Th. Vacquer signale la découverte d'une voir ""mérovingienne ou au moins carolingienne"" au 67-69 rue de la Harpe. Il réalise alors une coupe, mentionnant le niveau d'apparition de cette dernière à 1m20 sous ""le pavé actuel""."
2221;"Préalablement à la transformation d'un immeuble en hôtel 4 étoiles avec la réalisation d'une piscine au centre du sous-sol, un diagnostic archéologique a été conduit au 44 rue des Bernardins, dans le V' arrondissement de Paris.

L'opération archéologique a consisté à la reprise de huit sondages (SD 1 à SD 8) réalisés au préalable pour connaître la puissance des fondations des structures existantes en sous-sol (piliers, murs mitoyens et de façade). Un dernier sondage SD 9 implanté au centre du futur bassin de nage a été creusé manuellement dans un second temps.

Pour des raisons de sécurité à cause de la forte instabilité des remblais supérieurs, le substrat géologique n'a pas été atteint. Malgré un environnement archéologique propice, aucun contexte gallo-romain n'a été reconnu. Deux maçonneries perpendiculaires ont été mises en évidence en fond du sondage SD 1, aux environs de la côte de 32m NVP. Recouverts par d'épais remblais de démolition du XIX' siècle, elles sont associées à  des niveaux de sol (sable fin brun compact à éléments calcaire, sol en terre
battue) qui ont livré quelques tessons de céramique de la fin du XV' siècle. Un paléosol similaire (sable limoneux brun moyen compact à inclusions calcaires) ayant livré un tesson du XVI' siècle a été également mis en évidence en fond du sondage SD 9, à une côte de 32,50m NVP.

Par ailleurs, l'amorce d'une voûte maçonnée apparue sous les remblais du XIX' siècle à la côte de 32,90m NVP et un pilier pouvant marquer l'accès à la cave ont été découverts à l'issue de la reprise du sondage SD 8. L'ensemble de ces vestiges maçonnés correspondrait à des éléments constitutifs de bâtiments construits au début de l'époque moderne (XVI' siècle) en façade de la rue Saint-Nicolas du Chardonnay, devenue rue des Bernardins après le percement de la rue des Écoles dans les années 1860."
1944;"En 1844, Th. Vacquer rapporte une découverte : « dans les terres de remblai au sud de la chapelle Saint-Benoit, près de l'emplacement présumé du temple de Mars supposé (...) des fragments de tuiles plates, des fragments de poteries rouges lustrées et des fragments d'enduits peints de couleur violette. »."
1951;"Lors de fouilles relatives à une canalisation souterraine, des fragments d'architecture datant du XIIe siècle ont été mis en évidence en 1900. Dans la cave du n° 3, des éléments de colonnes engagées ont pu être observées à cette occasion."
1747;"Un mur de l'ancienne prison Saint-Éloi a été découvert en 1915, lors de la construction du cinéma Saint-Paul. Cette prison, organe de la justice seigneuriale du prieuré de Saint-Eloi, a été construite au Moyen Âge (XIVe siècle?), puis désaffectée et enfin détruite sous la Révolution.
Des ossements liés au cimetière Saint-Paul ont églement été dégagés à cette occasion."
1979;"Une opération de fouille menée en 2017, complétée en 2018, a permis de découvrir une cave médiévale voûtée datée du XIIIe siècle. Elle était composée d'un vaisseau principal ainsi que d'une alcôve. Un escalier desservait depuis le rez-de-chaussée un espace sous plancher qui s'ouvrait vers l'espace voûté par un arc.
L'ensemble a été volontairement comblé à la fin du Moyen Âge. Deux états de construction témoignent des réfections provisoires de l'ancien hôtel de Rieu au XVIe siècle avant que ne soit édifié l'ensemble encore visible connu sous le nom d'Hôtel Amelot de Bisseuil, dit des Ambassadeurs."
2243;"Lors de travaux de plantation dans le Jardin du Luxembourg à proximité de ""l'allée des Vétérans"", Théodore Vacquer découvre des vestiges romains."
1280;"En 1882, Charles Magne aurait fait la découverte d'un ensemble mobilier antique dont une fibule et une bague. La provenance de ce lot reste toutefois incertaine."
1284;Mention en 1896 d'une découverte de mobilier dont la provenance est contestée.
1786;"Les vestiges des thermes du forum (Ier-IIIe siècles), déjà signalés par Vacquer, ont été découverts en 1924, lors d'une petite fouille pour le relèvement de câbles électriques."
1641;"Un ancien puits et son corps de pompe en bois ont été découverts en 1906, lors de la construction de la ligne n° 4 du métropolitain."
1790;"En 1851, à l'occasion de l'installation d'une conduite, Théodore Vacquer mit au jour une série de sarcophages entre le Panthéon et la rue de la Montagne Sainte-Geneviève.
À l'emplacement de l'ancien Carré Sainte-Geneviève (aujourd'hui la partie méridionale de la place Sainte-Geneviève), il découvrit des sarcophages en plâtre qui s'étendaient jusque vers le transept du Panthéon. Vers le centre de la place, il note la présence d'un ossuaire. Parmi les remblais, il observe la présence d'éléments architecturaux d'époque romaine (tuiles, briques). Il rapporte également que vers l'angle nord-ouest de l'église, à la jonction entre les deux places, des ouvriers avaient retrouvés quelques années auparavant (en 1846 lors de l'installation d'une conduite d'eau rue Clotilde) une épitaphe d'enfant (dont les fragments ont été par la suite brisés et dispersés) qu'il associe au Ve siècle d'après le style épigraphique, qu'il rapproche de celle de Vitalis à Barbara. Il mentionne en 1864 un fragment de marbre blanc non recueilli.
Sous la chaussée, entre l'angle de l'église et la maison occupée actuellement par l'excellent pub ""The Bombardier"", des niveaux de démolition gallo-romains (contenant notamment des fragments d'hypocauste) étaient visibles, tout comme en début de tranchée plus proche du Panthéon.
Sur la petite place au nord de l'église, l'archéologue mentionne du mobilier gallo-romain dans les remblais ainsi que des sépultures en sarcophages de plâtre qu'il associe au Xe siècle. Au sommet de cette place, probablement lors des mêmes travaux, vers la rue Laplace (ancienne rue des Amandiers), d'autres sarcophages en pierre étaient repérés. Sur la place elle-même, entre le sommet et l'église, des sarcophages en plâtre sont notés."
1701;"Deux murs dont l'un arrondi (XVIe siècle ?) ont été découverts en 1928-1930, lors des fouilles pour la construction de la ligne n° 8 du métropolitain. Ils étaient perpendiculaires au boulevard. Leur origine est indéterminée mais ils pourraient avoir un rapport avec l'enceinte bastionnée construite au XVIe siècle."
1898;"Th. Vacquer a vu, ou supposé, l'existence d'une autre voie qui s'embrancherait à la voie de la rue Saint-Martin à l'emplacement de l'avenue Victoria, « à quelques mètres au sud de la rencontre des rues de la Vannerie et Saint-Martin »."
1673;"Lors des fouilles pour la construction des accès de la station « Bourse » du métropolitain en 1904, d'anciennes substructions du couvent des Filles-Saint-Thomas (XVIIe siècle) ainsi qu'un cercueil anthropomorphe de plomb ont été découverts. 
Le cercueil était brisé et portait une inscription se rapportant à dame Catherine Gallard, épouse de Nicolas Potier, seigneur de Novion, premier président du Parlement, pensionnaire et bienfaitrice du couvent, morte en 1685."
1675;"Une quarantaine de squelettes, dont douze en cercueils, ont été découverts en 1901, dans les sous-sols de l'église, lors de fouilles pour la construction d'un calorifère.
Des fragments de chapelets, une boucle et un morceau de drap brun ont également été mis au jour. 

."
1680;"Une cave voûtée (XVe siècle) a été signalée en 1899. Il s'agit d'une cave parfaitement conservée, bien construite mais sans ornementation."
1878;"Les fouilles menées à l'extérieur de la Cour carrée du Louvre, dans le jardin Raffet, ont été prescrites en préalable à l'aménagement d'une station de pompage. L'opération a permis de mettre au jour des maçonneries massives correspondant d'une part, aux aménagements des berges de Seine depuis le XIVe siècle et, d'autre part, à l'hôtel particulier de Concino Concini, marquis d'Ancre, édifié à la hâte et démantelé au XVIIe siècle. Le dernier état figure un jardin d'agrément doté de plates-bandes et d'un grand bassin circulaire dans le courant du XVIIIe siècle. Le plus grand volume de mobilier provient de latrines entièrement conservées et témoigne de la richesse des occupants de ce logis du XVIIe siècle: une boite à fard en jais fleurdelisée, du textile, des dizaines de céramiques entières dont certaines d'importation lointaine, une perle en quartz, de la verrerie très soignée, des monnaies etc. Concernant les activités pratiquées sur le site, une vaste fosse de rejet riche en fragments d'alliage cuivreux et de fer témoigne d'un possible atelier de travail du cuivre."
1750;"Deux tronçons de murs en fondation (XVIe siècle ?) qui faisaient partie de la galerie de fond du charnier couvert de l'église Saint-Paul ont été découverts en 1902, lors de la construction d'une usine.
Lors des mêmes travaux, des fragments d'architecture (certains datés du XVe siècle), une pierre tombale (XVe siècle), des fragments de cercueils anthropomorphes en plomb, les vestiges d'un coeur de plomb, des débris de céramiques funéraires (dont certaines,flammulées, pourraient dater du XIIIe siècle), ainsi que quelques monnaies en cuivre ont été découverts. Ces éléments provenaient de l'église et du charnier Saint-Paul."
1754;"E. Toulouze signale la découverte d'un nombre significatif d'objets gallo-romains « à l'angle de la rue du Four et de la rue Bonaparte » (il doit s'agir du n° 37, rue du Four) et rue du Four « près de la rue des Ciseaux »  Cependant, ces découvertes restent d'une exploitation difficile. En effet, aucun contexte précis ni description de couches et de constructions ne nous sont donnés. Peut-être s'agit-il alors de remblais, ce mobilier n'étant pas en position primaire. La découverte de la carrière antique comblée, découverte à proximité, sous le marché Saint-Germain, doit nous inciter à la prudence."
1556;"En 1898, lors de fouilles pour la construction d'une galerie de décharge en rapport avec la construction de la ligne n°1 du métropolitain, ont été découverts des céramiques ""plus ou moins brisées datant de la Renaissance et des Temps Modernes"", quelques fragments de colonnes et des débris de balustres en pierre du XVIe siècle ainsi que quelques monnaies anciennes datées ""de Henri III à la Révolution""."
1315;"En 1893, à l'occasion de la construction de l'Ecole de Droit, dans la partie ouest de l'îlot, Th. Vacquer a mis au jour un ensemble d'une ou plusieurs habitations gallo-romaines alignées sur l'axe de la rue Cujas, c'est-à-dire un peu en biais vers le nord-est par rapport au cardo. Apparemment, il y a plusieurs états. Il signale par exemple « des murs incohérents de la fin de la période gauloise en moellons à peine dégrossis et hourdés en terre ». Cette datation n'étant étayée par aucun matériel, on émettra donc les réserves d'usage. L'état le mieux conservé comportait un hypocauste « de très bonne époque », à pilettes et tubuli dans les murs ainsi que probablement un petit bassin. A cette occasion il fut aussi amené a reconnaître des fondations de Saint-Etienne-des-Grès ainsi que trois sarcophages en pierre de grande taille et de forme parallélépipèdique. Un autre, toujours en pierre, en forme de colonne prismatique et  une quarantaine de sarcophages de plâtre."
1903;"En 1993, à l'occasion d'un projet de construction immobilière sur une surface de 3700 m2, une campagne de sondages de diagnostic, réalisés sous forme de tranchées, a été menée par l'AFAN. Sous une couche de terre arable, des chablis et trois fossés ont été repérés. Aucun mobilier n'a été découvert. L'hypothèse d'une datation ancienne de ces structures a entraîné le décapage d'une partie de la parcelle. Il a révélé une structure circulaire de 2,85 m de diamètre. Cette dernière contenait en surface du mobilier attribuable à La Tène finale. Ce site est interprété par le fouilleur comme « des vestiges de ce qui semble être une portion d'établissement rural, installé au départ d'un vallon sud-est/nord-est, se dirigeant vers Clichy et la Seine »."
1875;"Le diagnostic archéologique réalisé au 2-4 rue Cassini à Paris (14e arrondissement) a permis de mettre au jour des vestiges des périodes gallo-romaine et moderne. Les vestiges antiques sont caractérisés par la découverte de mortier hydraulique lié à la proximité du tracé de l'aqueduc de Lutèce. Leur découverte, dans un contexte non structuré et associée à du mobilier des IIe - IIIe siècles ap. J.-C. et alto-médiéval, tend à suggérer l'existence d'une phase de remaniement ou de démantèlement de celui-ci dans un contexte proche. L'absence de toutes traces d'aménagement funéraire dans un contexte situé à proximité immédiate de la limite méridionale supposée de la nécropole antique dite ""du sud"" ou de la rue ""Pierre Nicole"" semble donc confirmer cette limite.
A cette phase succède une mise en culture de la parcelle qui perdure jusqu'à la fin de la période moderne (seconde moitié du XVIIIe siècle), date à laquelle ce secteur de Paris commence à s'urbaniser. Le bâtiment, situé à l'extrémité orientale de la tranchée et partie intégrante du projet de construction / réhabilitation, constitue le premier témoignage de ce développement urbain. Les structures mises au jour peuvent être mises en relation avec l'existence de ce dernier."
2253;"En 1847, Théodore Vacquer rapporte la découverte de murs et de fragments lapidaires ayant appartenus à l'ancienne église Saint-Etienne et à Notre-Dame. Il mentionne plus précisément des constructions plus anciennes qu'il attribue à Childebert."
2190;"Probablement durant l'année 1845, Théodore Vacquer mit au jour le cardo de la rue Saint Jacques lors du percement du collecteur du boulevard Saint Germain. Un croquis a été réalisé au droit de la berge nord. Il montre la présence de quatre états de voie successifs dont le dernier est en grès."
105;"Trois caves voûtées appartenant à des immeubles de l'ancienne rue du Monceau-Saint-Gervais ont été découvertes en 1914, lors de travaux d'égout.
A cette occasion, le mur de face d'un immeuble construit sur l'alignement de la rue François-Miron a également été mis au jour. Cet alignement, approuvé par ordonnance royale du 4 mars 1836, a été modifié, par décret du 29 septembre 1854, pour former la place Saint-Gervais."
191;"En 1925, lors de la construction de la station Odéon du métropolitain, des vestiges de la porte des Cordeliers, appartenant à l'enceinte de Philippe Auguste, sont apparus à trois mètres de profondeur. Cette porte est contemporaine de la construction de l'enceinte et fut démolie en 1672."
26;"De nombreux murs ont été découverts en 1896 lors de la construction d'un égout. Leur origine n'est pas confirmée : ces maçonneries n'appartiennent vraisemblablement pas à la chapelle Saint-Aignan, plutôt située au niveau des immeubles du n° 3 de la rue de la Colombe et au n° 24 de la rue Chanoinesse. Un four de potier entouré de céramiques rouges, probablement gallo-romaines, aurait également été mis au jour à cet endroit."
50;"Le 20 avril 1914, à l'occasion de travaux du Métropolitain, Ch. Magne signale la découverte, contestée depuis, dans un puisard remblayé d'un fragment de sculpture de pierre (haut. 50 cm) représentant Mercure.
En face du n° 17, il relate la découverte d'une lampe gallo-romaine d'époque tardive. En face du n°15, le 16 avril 1914, à l'occasion de travaux d'égouts, Ch. Magne signale la découverte, dans un « puisard », d'une céramique complète « en terre noire vernissée » à 10 m de profondeur dont la provenance parisienne est également contestée. L'escarpe des fossés de l'enceinte de Philippe Auguste est dégagée lors de la déviation du collecteur de Bièvre, à 7 mètres de profondeur. De menus débris de pierres tombales (XVe-XVIe siècles) sont enfin signalés."
295;"De nombreux ossements humains ont été dégagés en 1935, lors de la pose d'une canalisation d'eau. Entassés pêle-mêle, ceux-ci présentaient l'aspect d'un charnier. Ils provenaient sans doute du cimetière créé en 1786 pour recevoir les ossements des cimetières désaffectés de Paris."
296;"Une hache en pierre taillée préhistorique a été découverte en 1934, lors de la construction du déversoir de la Bièvre, à 4,50 m de profondeur : dans « la basse terrasse quaternaire (acherchein, magdalénien), mais la facture de l'outil semble l'apparenter à une industrie plus récente, vers le campignien. En tout cas, la pièce est très peu roulée et semble avoir été abandonnée sur place plutôt que charriée sur les pentes des berges ou dans le lit du fleuve »."
